name,mitra_brand_name,location,link
 System Analyst,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/a70a9fd2-e4fb-11ee-97b7-caa6484cdffa
Quality Assurance (QA),Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/e4d67c09-e4f8-11ee-97b7-caa6484cdffa
Mobile Developer,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/8d01e419-e4f0-11ee-826e-82a549dac64f
Backend Developer ,Sagara Technology,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/00037ae0-9dae-4d54-aeef-c0b418675a47/9642786a-e4e2-11ee-97b7-caa6484cdffa
Data Exploration,Lokalate,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/7dd50290-0458-11ef-b035-262ecb639d34
IT - Business Analyst,Lokalate,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba6e4e73-3cc3-4cf2-9cf4-9090f73fe8af/2e26db9e-0457-11ef-8807-4ed702cab837
Full Stack - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/95edb105-efc1-11ee-bb69-32b7bdeb41bc
Mobile Apps Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/e60ec992-efcd-11ee-bb69-32b7bdeb41bc
Front End - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/91f413ca-efc3-11ee-bb69-32b7bdeb41bc
UI/UX Designer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/61f368ca-efc7-11ee-bb69-32b7bdeb41bc
Back End - Web Developer,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/1f0df8b6-efc5-11ee-92bb-b27cd062ba27
Quality Assurance,Aksamedia,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/acf3cefc-ec20-43df-a7f6-d0da39956909/3366f0b3-efcd-11ee-9c51-1aff99471513
T&D - UX Writer,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/94a139b0-fdbe-11ee-8a41-f67d68bd6616
T&D - UX Researcher,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/1875895c-fdbe-11ee-9648-aa9bf47860c9
DNS - IT Developer,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/2f417531-fce9-11ee-877d-ee833f3bb5c3
ODOO - Odoo Web Developer Support Intern,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/2e3aee9c-fc1c-11ee-be48-1676ae1015eb
WHF - Warehouse & Fulfillment Technology Intern - Cakung,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/141109f9-fc18-11ee-877d-ee833f3bb5c3
DE - Data Engineering,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/f95996f8-fbfc-11ee-877d-ee833f3bb5c3
"ACAD - Asset and Art Data Administrator - Koleksi Lukisan, Wayang, dan Buku (Jakarta)",Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/cefd5994-fa8a-11ee-9129-da28f9df4d8d
"ACAD - Art Collection Data Administrator - Koleksi Keramik, Benda Kayu & Arsip (Jakarta, Bali)",Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/49a5b81e-fa8c-11ee-9129-da28f9df4d8d
ACAD - Article Data Administrator (Bali),Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/cc338202-fa90-11ee-8418-a2b4dbc792e0
HRDIP - HR Data Analyst,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/e2603d75-fe1a-11ee-ac63-7e456e52b7d0
OVAL - Data Analyst,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/5dab6b1b-fdf3-11ee-865e-fae64678b8c1
AdOps - Data Analyst,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/931b5a89-fdfa-11ee-8a41-f67d68bd6616
Asisten Pengumpulan Data,Komodo Water,Kab. Manggarai Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/90e39576-f11f-40ff-ad82-202d10060bbe/af55fff9-0487-11ef-9e17-0a54edb93563
QAQC (Quality Assurance and Quality Control),Gold Coin Group - Aboitiz Company,Kab. Deli Serdang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/2a5f474e-0152-11ef-ac63-7e456e52b7d0
Web Development,Dinas Sosial Kota Medan,Kota Medan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6461984b-6e09-4936-898c-3e92ad70a381/c7728189-02ea-11ef-96b2-2e5cd91a15e0
Tech & Data Intern,GoTo,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/5b648a00-1673-41a4-92be-d934b0c09a94/cdedac59-fe1b-11ee-bcd1-e26d212b611d
IT Support & Programmer,KidZania Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a92c77a0-e1ac-46f5-b0a4-fd50a7d62cf2/357f3be1-0219-11ef-829a-72f05e45eff5
ULIP IT ,Unilever Indonesia,Kab. Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d51cb5a8-0ee1-4eab-8ae1-5c0316aae0b1/894c82be-f57b-11ee-ba4a-7a0ffb76e4be
Data Analytics Intern,RedDoorz,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9af2f24b-f9c4-4597-8f85-dd83dacba8ad/9bb1a40a-dd26-11ee-9fa7-1e338b798a67
Product Developer,Grosirone,Kab. Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/cb055055-8e0e-430d-bd94-fd6ecc91b523/e375ff6b-03bf-11ef-8247-deb43c39bd5c
IT Network Engineer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/325d49a0-06bd-11ef-8ce9-8a7c35fd8d18
IT Server Engineer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/b90c440a-06bc-11ef-87a3-36f764739585
IT Security Engineer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/b6ed8682-06bc-11ef-87a3-36f764739585
IT Governance Officer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/8e4e2238-06bb-11ef-8ce9-8a7c35fd8d18
Programmer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/383659e0-06bc-11ef-87a3-36f764739585
Mobile Programmer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/357ffc85-06bc-11ef-87a3-36f764739585
IT Data Analyst,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/a1add371-06bb-11ef-a8a5-a255c4df7a39
UI/UX Designer,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/9150dd6a-069b-11ef-87a3-36f764739585
Pengumpul dan Pengolah Data,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/eb415a36-069b-11ef-8ce9-8a7c35fd8d18
Pengolah Data dan Informasi,Setjen DPR RI,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/da0b2d16-0699-11ef-a8a5-a255c4df7a39
Junior Programmer Specialist,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/2bc5df1b-04b2-11ef-8ce9-8a7c35fd8d18
Junior Data Analyst,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/90771cde-0496-11ef-9b3e-022ae5f04a49
Junior Mobile Application Developer				,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/979faae3-04b0-11ef-8394-36f764739585
Junior Data Analyst,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/ba6ecf74-04b1-11ef-bb7f-6ac06bc5928b
Junior Database (SQL) Developer,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/6ec91d11-0497-11ef-9e17-0a54edb93563
Junior Frontend Developer				,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/70cc9915-0499-11ef-9e17-0a54edb93563
Junior Backend Application Developer,LLDIKTI Wilayah VII,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/591099df-3f49-4728-8672-f6a3b9b34274/218b1c85-0498-11ef-9b3e-022ae5f04a49
IT (Informasi & Teknologi),THE KANJENG HOTELS,Kota Denpasar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/775533df-9f97-4b12-9614-b7213f251348/d13e3479-084e-11ef-90ce-06fe6f5891a5
Teknologi Informasi,Jaswita Jabar,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/dcb79ca6-57d3-459e-b681-92de66b9f4db/4de7598b-fd43-11ee-8a41-f67d68bd6616
Backend Developer,Diskominfotiksan Pesawaran,Kab. Pesawaran,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba658fa9-a90e-4b5b-abbe-62a0981ff867/57126816-fe4b-11ee-9733-ca7bef2c0196
Frontend Developer,Diskominfotiksan Pesawaran,Kab. Pesawaran,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba658fa9-a90e-4b5b-abbe-62a0981ff867/77ad7029-fe4a-11ee-bcd1-e26d212b611d
UI/UX Designer,Diskominfotiksan Pesawaran,Kab. Pesawaran,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba658fa9-a90e-4b5b-abbe-62a0981ff867/b08b9312-fe35-11ee-9733-ca7bef2c0196
System Analyst - Quality Assurance,Diskominfotiksan Pesawaran,Kab. Pesawaran,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ba658fa9-a90e-4b5b-abbe-62a0981ff867/914045a8-fe30-11ee-9733-ca7bef2c0196
IT Event Lomba Film Pendek,PFN,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/eb82412e-5cff-42ae-ad24-48e4b53b6c65/498a6fbf-fbc3-11ee-ae59-1295b2c39143
System Integration,PFN,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/eb82412e-5cff-42ae-ad24-48e4b53b6c65/b52f891a-fc88-11ee-a0c9-42fbd8755c1a
"Health, Security, and Environment (HSE) Intern (Jakarta)",Gobel Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/23d6c499-1b8f-477f-be8e-583a7fe73382/861968e6-062e-11ef-8ce9-8a7c35fd8d18
Information technology (IT) Intern (Jakarta),Gobel Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/23d6c499-1b8f-477f-be8e-583a7fe73382/d3e934c7-062f-11ef-8ce9-8a7c35fd8d18
Quality System Intern (Jakarta),Gobel Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/23d6c499-1b8f-477f-be8e-583a7fe73382/d82b6238-0634-11ef-bb7f-6ac06bc5928b
QA Officer (Compliance ),Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/9b2d1b61-04ae-11ef-9e17-0a54edb93563
Programmer,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Purwakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/023b34a6-077f-11ef-ab3a-4ed2ca689a53
QA Officer,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/d6f9aba2-049a-11ef-9b3e-022ae5f04a49
Transport Management System (TMS) Development Support,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/fb7e8976-047e-11ef-9e17-0a54edb93563
Programmer,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Pekalongan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/65c4bca5-0713-11ef-8ce9-8a7c35fd8d18
IT Support,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Makassar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/414e00c3-04af-11ef-8394-36f764739585
Quality assurance,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Pemalang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/5a8e9172-04b2-11ef-87a3-36f764739585
Data Analyst,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/0d1d42f0-060e-11ef-8ce9-8a7c35fd8d18
IT Infrastruktur,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/191ef450-04ab-11ef-bb7f-6ac06bc5928b
Security - Safety Operation Assistant,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/89be1b6e-0487-11ef-8394-36f764739585
IT Staff,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/b396f870-07ac-11ef-8f71-8679c2fa8e3e
Programmer,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/2a3fed2e-07c3-11ef-a70d-76d1f92ab22e
UI/UX Designer,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/8eba5c42-07c5-11ef-9f04-3a66b6b91e80
IT Programmer Intern,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/2d409951-0475-11ef-9b3e-022ae5f04a49
IT&T Assistant,Gerakan Nasional Indonesia Kompeten (GNIK),Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/d169d401-0489-11ef-9b3e-022ae5f04a49
QA Posmarket Officer,Gerakan Nasional Indonesia Kompeten (GNIK),Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/823ec9fb-a929-460a-8af6-8a90e0dd777a/376bef4b-04ae-11ef-9e17-0a54edb93563
Information and Technology,SEAMEO CECCEP,Kab. Bandung Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc0a0344-431c-41c3-a832-db1c62c31182/e9220841-0497-11ef-9e17-0a54edb93563
Sosial Media & Web Developer,INAmikro,Kota Surakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/25049796-20e7-4ed2-9c64-07913cc432fa/0bfe3abd-fc8b-11ee-be48-1676ae1015eb
Commercial System Development,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/bc83e4e2-fc83-11ee-b3c3-42bfe4d30846
Information Technology,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/a62f54ec-fc86-11ee-be48-1676ae1015eb
Building Automation System,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/1b9a17e1-f232-11ee-bf75-32cfa9fc582e
Management System,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/78414d18-f0c6-11ee-8773-32b7bdeb41bc
Quality Assurance Intern - GVN,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/064bbc9d-f251-11ee-9129-da28f9df4d8d
QFS Application Development Intern,Kalbe Nutritionals,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cbffa21-086d-4887-ae92-479789e80772/816f3e7c-f25f-11ee-af0a-42786e9b30fb
"IT - Manufacture, Distribution & Retail",Martha Tilaar Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/65f46082-7c36-4885-bbb0-ad5591c80934/d9f50208-fe20-11ee-ac63-7e456e52b7d0
MFG - Quality Assurance,Martha Tilaar Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/65f46082-7c36-4885-bbb0-ad5591c80934/35442128-fe29-11ee-ac63-7e456e52b7d0
Mobile Developer,Radya Digital,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3decd0d9-9293-4830-bd9a-81baeaea803c/7f6ed960-f332-11ee-9129-da28f9df4d8d
QA,Radya Digital,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3decd0d9-9293-4830-bd9a-81baeaea803c/1bba9fa0-f31d-11ee-bf75-32cfa9fc582e
UI/UX Designer,Radya Digital,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3decd0d9-9293-4830-bd9a-81baeaea803c/2c10a189-f31b-11ee-bf75-32cfa9fc582e
Web Developer,Radya Digital,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3decd0d9-9293-4830-bd9a-81baeaea803c/c4b0180d-f302-11ee-af0a-42786e9b30fb
UI / UX Designer,BAZNAS,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1097a785-f615-4f4c-99c4-67c6049f1ada/91919184-fbc1-11ee-8e68-924661b1cd89
